Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename	DateTime	FileName	Start.Time	Treatment	Medium	Screen	Library	Plate	RepQuad	Expt.Time	ORF	Gene
11	1	1709.5	280.5	137	0.0375601117095	0.458568397081	0.0235978438266	0.000196462698775	0.000750888243795	8.8473532386e-05	66.2332204897	0.0021220433725	90.9224604966	111.051241535	113.836568849	82.4507217283	104.991874582	109.832234012	91.0	111.0	114.0	81.0	104.0	109.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
12	1	1843.5	292.5	137	0.0380074156567	0.501733864707	0.0247904282325	0.000163121687355	0.00067409691496	9.30717018851e-05	30454.5991839	0.000103514310853	89.9544047865	110.700639571	113.594697751	82.4682663343	105.285031682	109.928118832	87.0	109.0	113.0	82.0	105.0	109.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
13	1	1994.5	281.5	137	0.0493508687225	0.581698669841	0.0378076518872	0.000228142901589	0.00118988402908	9.32408919953e-05	0.0	0.0	94.8885132129	114.442477089	116.249132485	82.5929225439	105.646250928	110.133506558	93.0	113.0	115.0	82.0	105.0	110.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
14	1	2124.5	285.5	137	0.0427085260176	0.554629677553	0.0313820207981	0.000197385500589	0.00106412837963	8.8473532386e-05	0.0	0.0	92.6524822695	112.278088839	114.43924972	82.2283556072	104.994654271	109.604764672	91.0	111.0	114.0	81.0	104.0	109.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
15	1	2257.5	280.5	137	0.044312212589	0.538274416438	0.0321129852086	0.000207412302556	0.00122069711282	9.02266798383e-05	61.7628801462	0.00238082914963	93.7407692308	112.958173077	114.96625	82.7669543773	105.101894406	109.852819191	92.0	111.0	114.0	82.0	104.0	109.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
16	1	2389.5	290.5	137	0.0346130497969	0.45722271104	0.0200562570641	0.000147481575229	0.000433491755469	9.02266798383e-05	0.0	0.0	88.500679194	109.111274621	113.190061127	82.8230189759	105.169543244	110.24802136	86.0	108.0	113.0	82.0	104.0	110.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
17	1	2531.5	280.5	137	0.0414505243856	0.515242482273	0.0280349773402	0.00019295640387	0.000913028731445	9.30717018851e-05	346.532463895	0.000983385953108	91.9896534405	111.610748368	114.758412858	83.0325645953	105.3504164	110.681080504	90.0	110.0	114.0	82.0	105.0	110.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
18	1	2668.5	280.5	137	0.0416898456046	0.541793903007	0.0284876134612	0.00018217587287	0.001060557397	9.32408919953e-05	913.505330494	0.000621085865121	91.6645013374	111.014998089	114.583014903	83.7618886253	105.412402575	110.994804021	90.0	110.0	114.0	83.0	104.0	111.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
19	1	2805.5	280.5	137	0.0415937222561	0.493866777082	0.0278029658351	0.00019295640387	0.00106864866322	8.9303995354e-05	0.0	0.0	93.2817019493	111.784741144	114.690735695	83.5716330913	104.915021986	110.552919521	91.0	110.0	114.0	82.0	104.0	110.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
20	1	2942.5	280.5	137	0.0395807991481	0.48698307541	0.0269397890497	0.00018234506298	0.00100987777385	7.76930013853e-05	0.0	0.0	93.7433308534	111.249229461	114.052609204	83.424031477	104.017554479	109.730326877	91.0	109.0	113.0	82.0	103.0	109.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
21	1	3081.5	285.5	137	0.0285030492125	0.384969722064	0.0171123517885	0.000144405764731	0.000807082056585	5.91462688711e-05	0.0	0.0	91.1055391234	108.418795375	111.233933853	82.5255406884	102.241605655	107.54203484	88.0	107.0	110.0	81.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
22	1	3212.5	293.5	137	0.0124892189507	0.246053516899	0.00513344236008	5.80543942766e-05	0.000472208552757	2.37906983724e-05	0.0	0.0	84.9314261674	102.328986117	106.021876315	81.3629436397	99.6194823917	104.488844649	83.0	101.0	105.0	80.0	99.0	104.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
23	1	3353.5	285.5	137	0.00857252440323	0.203457377983	0.00415465246078	2.50517630771e-05	0.00104718163731	7.48919605806e-06	0.0	0.0	86.8204019334	101.672856779	103.455354872	81.7800519818	98.1248213125	101.673814165	83.0	98.0	102.0	80.0	97.0	101.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
24	1	3490.5	280.5	137	0.0208424507935	0.225091868951	0.0128446140036	0.000148681158922	0.00592325997511	1.44404221865e-05	0.329921374725	0.0210651622587	99.3644515981	110.307426995	108.060243734	85.1088030991	98.7973550628	100.160432808	94.0	105.0	104.0	84.0	97.0	99.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
1	2	340.5	417.5	137	-0.00666119697983	0.186998602557	-0.00189519350013	-3.77241036269e-05	2.51361224675e-05	-2.23454031271e-05	5044.69966996	0.00015527146628	76.6880708552	94.3512316634	99.3836147246	78.4251336898	95.3064043799	99.4663865546	77.0	94.0	99.0	78.0	95.0	99.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
2	2	479.5	420.5	137	-0.00609536697776	0.855286993427	-0.00517556537048	-2.16841302693e-05	2.46713351204e-05	-2.23454031271e-05	0.0	0.0	76.2510136157	95.8449016641	101.973071104	76.3326180258	95.7006437768	101.820100143	76.0	96.0	102.0	76.0	96.0	102.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR033C	EXO1
3	2	614.5	417.5	137	0.00397743237811	0.269551265462	0.00101306022372	1.36714402295e-05	1.71659427584e-05	1.36714402295e-05	0.0	0.0	78.2820660522	98.5117127496	104.856758833	78.482958974	98.5239849784	104.937646142	78.0	98.0	105.0	79.0	98.0	105.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YML030W	YML030W
4	2	762.5	417.5	137	0.0120820520539	0.259148077222	0.00321643651703	4.69356003857e-05	1.75356124642e-05	4.44288412291e-05	0.0	0.0	80.127022169	100.816856401	107.504293988	79.912812631	100.757579992	107.376414699	80.0	101.0	107.0	80.0	101.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YPR160W	GPH1
5	2	888.5	430.5	137	0.0143190214686	0.404119869572	0.0058532715163	5.52093722298e-05	1.33527727819e-05	5.52093722298e-05	0.0	0.0	79.9830942623	101.737064549	107.77920082	79.8914270824	101.674802397	107.720924173	80.0	102.0	108.0	80.0	102.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YDL109C	YDL109C
6	2	1026.5	426.5	137	0.0165118768238	0.341390197195	0.00563370374729	6.24834909957e-05	1.25096445906e-05	6.24834909957e-05	0.0	0.0	80.2180109157	102.398423287	108.272134627	80.0927308448	102.472848723	108.25021611	80.0	102.0	108.0	80.0	102.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YDL012C	YDL012C
7	2	1164.5	418.5	137	0.0180505220617	0.272501423322	0.00492073011702	7.05880727296e-05	1.39298068232e-05	7.05880727296e-05	0.0	0.0	80.0294396961	103.134662868	108.454890788	80.1617103017	103.059049516	108.475455322	80.0	103.0	108.0	80.0	103.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
8	2	1299.5	417.5	137	0.0177815630308	0.00926453082139	0.000163296256738	7.04188826194e-05	9.81079482496e-06	7.05880727296e-05	0.0	0.0	79.8715083799	102.994413408	108.625698324	79.9929474454	103.060025076	108.320656149	80.0	103.0	108.0	80.0	103.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YNL250W	RAD50
9	2	1436.5	418.5	137	0.0170188132465	0.271207494436	0.00470552540325	7.04188826194e-05	1.36651108091e-05	6.24834909957e-05	0.0	0.0	80.0187022901	102.920229008	108.004961832	79.7756551381	102.907605994	107.69007883	80.0	103.0	108.0	80.0	103.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YGL179C	TOS3
10	2	1573.5	417.5	137	0.0148974174672	0.419025930335	0.00622755584851	5.88080059809e-05	1.35432556402e-05	5.89771960911e-05	0.0	0.0	79.2852025692	102.378211462	107.153779644	79.3514476615	102.368908686	107.164365256	79.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YKL109W	HAP4
11	2	1712.5	421.5	137	0.0133365875748	0.301433673205	0.00367704331788	4.69356003857e-05	1.57446559178e-05	5.52093722298e-05	0.0	0.0	78.6730769231	101.636160714	106.622424451	78.986663703	102.100911314	107.051048381	79.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YKL198C	PTK1
12	2	1846.5	417.5	137	0.0168242788345	0.234977485637	0.00437027541482	6.23143008855e-05	0.000388967936436	6.23143008855e-05	4.54809650743	0.00579680140779	80.0942731278	103.453303965	107.854405286	79.4304850822	102.870780055	107.406670726	79.0	103.0	107.0	79.0	103.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YOR202W	HIS3
13	2	1986.5	421.5	137	0.0167927349402	0.666890947674	0.0111592525062	6.23143008855e-05	1.32937371027e-05	6.24834909957e-05	0.0	0.0	79.3022118743	103.135972061	107.393092744	79.4564947172	103.137041641	107.38238036	79.0	103.0	107.0	79.0	103.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YJL094C	KHA1
14	2	2120.5	417.5	137	0.0143077439083	0.196935976399	0.00279275708894	5.77161313864e-05	1.26274264686e-05	5.77161313864e-05	0.0	0.0	79.0141918528	102.248883049	107.007358739	78.9173756123	102.357953081	107.052590874	79.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YLR387C	REH1
15	2	2256.5	421.5	137	0.0139834066616	0.544485275089	0.00763311966035	5.52093722298e-05	1.42233321392e-05	5.52093722298e-05	0.0	0.0	79.116730038	102.1121673	107.079847909	79.1233950687	102.046699239	107.224860811	79.0	102.0	107.0	79.0	102.0	107.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YGR231C	PHB2
16	2	2394.5	417.5	137	0.0157337694634	0.145075306661	0.00228784024097	6.23143008855e-05	1.32142441158e-05	6.23143008855e-05	0.0	0.0	79.4641455583	102.589725294	107.626471638	79.5558178956	102.524881947	107.625075675	79.0	103.0	108.0	79.0	103.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YNL125C	ESBP6
17	2	2531.5	417.5	137	0.0165857645139	0.0915066507945	0.00157641092793	7.04188826194e-05	1.2947046368e-05	6.23143008855e-05	0.0	0.0	79.7024886878	103.016968326	108.061085973	79.7078562069	102.709508346	108.050646613	80.0	103.0	108.0	80.0	103.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YPR119W	CLB2
18	2	2662.5	417.5	137	0.015378616447	0.734071735417	0.0113015026991	5.93000887285e-05	1.62797786342e-05	5.94692788387e-05	0.0	0.0	79.4770499894	102.352041176	107.979059437	79.5630595562	102.282405605	107.968859478	79.0	102.0	108.0	79.0	102.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YER173W	RAD24
19	2	2805.5	417.5	137	0.0136760160129	0.246208788365	0.00337899342771	5.50401821196e-05	1.20106739501e-05	5.50401821196e-05	0.0	0.0	79.1553500105	101.789783477	107.978978348	79.2186212579	101.756179621	107.843380939	79.0	102.0	108.0	79.0	102.0	108.0	DLR00012733	DLR00012733-2009-11-09_20-00-38	2009-11-09_20-00-38	DLR00012733-2009-11-09_20-00-38	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1	0.0238888888889	YNL268W	LYP1
