Barcode	Start.Time	Treatment	Medium	Screen	Library	Plate	RepQuad
DLR00012693	2009-11-09_19-26-14	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	10	1
DLR00012694	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	10	1
DLR00013902	2009-11-09_19-26-14	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	10	1
DLR00013903	2009-11-09_19-26-14	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	10	1
DLR00013904	2009-11-09_19-26-14	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	11	1
DLR00013898	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	11	1
DLR00013880	2009-11-09_19-26-14	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	11	1
DLR00012736	2009-11-09_19-26-14	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	11	1
DLR00012735	2009-11-09_19-26-14	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	12	1
DLR00012803	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	12	1
DLR00012807	2009-11-09_19-26-14	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	12	1
DLR00012814	2009-11-09_19-26-14	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	12	1
DLR00012801	2009-11-09_19-26-14	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	13	1
DLR00012800	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	13	1
DLR00012804	2009-11-09_19-26-14	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	13	1
DLR00012805	2009-11-09_19-26-14	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	13	1
DLR00012806	2009-11-09_19-26-14	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	14	1
DLR00012811	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	14	1
DLR00012802	2009-11-09_19-26-14	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	14	1
DLR00012812	2009-11-09_19-26-14	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	14	1
DLR00012734	2009-11-09_19-26-14	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1
DLR00012733	2009-11-09_19-26-14	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1
DLR00012732	2009-11-09_19-26-14	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1
DLR00012730	2009-11-09_19-26-14	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP1	BooneSDLV2	15	1
DLR00013251	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	1	2
DLR00013887	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	1	2
DLR00013252	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	1	2
DLR00013249	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	1	2
DLR00013886	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	2	2
DLR00013920	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	2	2
DLR00013248	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	2	2
DLR00013777	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	2	2
DLR00013776	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	3	2
DLR00013783	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	3	2
DLR00013784	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	3	2
DLR00013250	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	3	2
DLR00013918	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	4	2
DLR00013917	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	4	2
DLR00013922	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	4	2
DLR00013923	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	4	2
DLR00013921	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	5	2
DLR00013929	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	5	2
DLR00013790	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	5	2
DLR00013791	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	5	2
DLR00013781	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	6	2
DLR00013785	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	6	2
DLR00013927	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	6	2
DLR00013792	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	6	2
DLR00013782	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	7	2
DLR00013787	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	7	2
DLR00013788	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	7	2
DLR00013793	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	7	2
DLR00013926	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	8	2
DLR00013930	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	8	2
DLR00013775	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	8	2
DLR00013223	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	8	2
DLR00013224	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	9	2
DLR00013256	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	9	2
DLR00013255	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	9	2
DLR00013770	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	9	2
DLR00013780	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	10	2
DLR00013254	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	10	2
DLR00013779	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	10	2
DLR00013772	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	10	2
DLR00013222	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	11	2
DLR00013768	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	11	2
DLR00013932	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	11	2
DLR00013258	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	11	2
DLR00013767	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	12	2
DLR00013257	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	12	2
DLR00013226	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	12	2
DLR00013934	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	12	2
DLR00013925	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	13	2
DLR00013892	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	13	2
DLR00013765	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	13	2
DLR00013891	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	13	2
DLR00013273	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	14	2
DLR00013766	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	14	2
DLR00013889	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	14	2
DLR00013919	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	14	2
DLR00013890	2009-11-16_18-15-23	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	15	2
DLR00013888	2009-11-16_18-15-23	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	15	2
DLR00012850	2009-11-16_18-15-23	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	15	2
DLR00013260	2009-11-16_18-15-23	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP2	BooneSDLV2	15	2
DLR00016359	2009-11-23_18-33-21	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP3	BooneSDLV2	1	3
DLR00016445	2009-11-23_18-33-21	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP3	BooneSDLV2	1	3
DLR00016447	2009-11-23_18-33-21	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP3	BooneSDLV2	1	3
DLR00016446	2009-11-23_18-33-21	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP3	BooneSDLV2	1	3
DLR00016367	2009-11-23_18-33-21	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP3	BooneSDLV2	2	3
DLR00016362	2009-11-23_18-33-21	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP3	BooneSDLV2	2	3
DLR00016358	2009-11-23_18-33-21	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP3	BooneSDLV2	2	3
DLR00016444	2009-11-23_18-33-21	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP3	BooneSDLV2	2	3
DLR00016443	2009-11-23_18-33-21	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP3	BooneSDLV2	3	3
DLR00016441	2009-11-23_18-33-21	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP3	BooneSDLV2	3	3
DLR00016442	2009-11-23_18-33-21	36	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP3	BooneSDLV2	3	3
DLR00016439	2009-11-23_18-33-21	UD20-36_5h_3x	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP3	BooneSDLV2	3	3
DLR00016438	2009-11-23_18-33-21	20	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP3	BooneSDLV2	4	3
DLR00016440	2009-11-23_18-33-21	27	SD/MSG -ARG -HIS -LEU -LYS +Canavanine +G418 +Hygromycin +Thialysine	Adam cdc13-1 SDLV2 REP3	BooneSDLV2	4	3
